location,avg_IHD,avg_IS,IHD_rank,IS_rank
China,2992559.22679639,1036715.24198842,1,1
India,2870275.51498062,257817.434785569,2,2
Russian Federation,823454.264781757,158212.814199773,3,3
United States of America,463364.877805601,137431.923325786,4,4
Pakistan,346721.981808556,44134.3851025901,5,10
Ukraine,300236.622713344,54213.1954696988,6,9
Egypt,281069.151786759,34565.6111487235,7,15
TÃ¼rkiye,257061.026936207,30671.1035296671,8,19
Bangladesh,256806.507989611,41746.9185696283,9,12
Iran (Islamic Republic of),254679.745541019,28812.6776062465,10,20
Indonesia,251768.146439224,124211.383447244,11,5
Germany,221905.146026488,73418.8095714777,12,7
Brazil,181815.613268986,72149.8772309028,13,8
Mexico,162325.543925477,26621.1153407261,14,24
Japan,154014.045597488,94762.3330107797,15,6
France,148088.425864936,33062.8073046365,16,16
Morocco,139430.194814041,17048.4489113339,17,31
Nigeria,137607.77002243,38057.9995537494,18,13
Algeria,120429.142048268,16894.0885643525,19,32
Italy,111583.250778339,32110.872652855,20,17
Uzbekistan,111342.527044345,15542.1651180339,21,33
Iraq,93396.0967509156,12924.8535021838,22,37
Viet Nam,90432.5689832467,43072.9017569063,23,11
United Kingdom,80301.7351970115,35086.3353960958,24,14
Sudan,79158.8821783602,10545.6238497245,25,47
Poland,76505.5482136309,26892.7036655129,26,23
Saudi Arabia,75515.187669641,7519.64313349821,27,56
Thailand,72607.8535050743,28105.3935573288,28,22
South Africa,70201.7284999435,23582.1828185375,29,27
Spain,65760.4999451321,26070.7819607571,30,25
Canada,64782.944061302,19917.1681573496,31,28
Philippines,62817.9365508049,28550.7550003692,32,21
Syrian Arab Republic,60776.7669702781,4879.17047146577,33,77
Colombia,59936.502762596,10902.7575842337,34,45
Romania,58612.4553302261,24681.5270460664,35,26
Argentina,56428.8313323957,15424.0076543387,36,34
Yemen,51962.5175575028,6895.90744571948,37,59
Belarus,51929.351025439,11810.9450761013,38,42
Myanmar,49898.7359214916,19856.6982856232,39,29
Taiwan,49486.1317471643,14206.3131735007,40,36
Democratic People's Republic of Korea,48623.6224970185,19222.0600054734,41,30
Nepal,48605.9463515995,5475.30817583658,42,72
Democratic Republic of the Congo,47794.3592008836,15400.5892855022,43,35
Ethiopia,47381.6157310001,12710.6969827009,44,38
Tunisia,45534.4476002546,4899.40173832973,45,76
Kazakhstan,44260.284526777,12265.9210269335,46,40
Republic of Korea,41040.6838409078,31224.2597145132,47,18
Afghanistan,40791.2567716777,5793.54050991735,48,68
Venezuela (Bolivarian Republic of),40338.7718337493,7190.05831823221,49,57
Hungary,39116.3119013703,9204.25089280057,50,53
Australia,37951.2372504066,10119.4847381002,51,48
Malaysia,35856.3547212889,10901.1895107995,52,46
Czechia,32396.1003863429,9749.1439622584,53,49
Serbia,32011.7414143957,11647.995606563,54,43
United Republic of Tanzania,31494.7417964719,12692.0078595792,55,39
Bulgaria,30275.5869903517,12139.3491123024,59,41
Sri Lanka,28811.6053722251,9366.73353221553,60,50
Ghana,25629.9544966788,11148.4540422395,63,44
