"location","sex","age","EAPC","LCI","UCI","p_value","sig_symbol","EAPC_CI"
"Belize","Both","Age-standardized",-4.76,-5.02,-4.51,0,"***","-4.76***
(-5.02 to -4.51)"
"Namibia","Both","Age-standardized",-3.74,-3.99,-3.49,0,"***","-3.74***
(-3.99 to -3.49)"
"Andorra","Both","Age-standardized",-5.12,-5.35,-4.89,0,"***","-5.12***
(-5.35 to -4.89)"
"Tokelau","Both","Age-standardized",-4.64,-4.77,-4.51,0,"***","-4.64***
(-4.77 to -4.51)"
"Afghanistan","Both","Age-standardized",-3.33,-3.65,-3,0,"***","-3.33***
(-3.65 to -3)"
"Belarus","Both","Age-standardized",-2.61,-4.14,-1.06,0.0025,"**","-2.61**
(-4.14 to -1.06)"
"Eritrea","Both","Age-standardized",-3.24,-3.44,-3.03,0,"***","-3.24***
(-3.44 to -3.03)"
"Greece","Both","Age-standardized",-4.78,-5.39,-4.17,0,"***","-4.78***
(-5.39 to -4.17)"
"Lebanon","Both","Age-standardized",-6.37,-6.7,-6.03,0,"***","-6.37***
(-6.7 to -6.03)"
"Angola","Both","Age-standardized",-4.26,-4.45,-4.07,0,"***","-4.26***
(-4.45 to -4.07)"
"South Africa","Both","Age-standardized",-1.18,-1.74,-0.62,3e-04,"***","-1.18***
(-1.74 to -0.62)"
"Cuba","Both","Age-standardized",-4.67,-5.29,-4.05,0,"***","-4.67***
(-5.29 to -4.05)"
"Spain","Both","Age-standardized",-6.1,-6.32,-5.88,0,"***","-6.1***
(-6.32 to -5.88)"
"Albania","Both","Age-standardized",-5.74,-6.06,-5.43,0,"***","-5.74***
(-6.06 to -5.43)"
"Lithuania","Both","Age-standardized",-3.64,-4.62,-2.64,0,"***","-3.64***
(-4.62 to -2.64)"
"Haiti","Both","Age-standardized",-3,-3.16,-2.83,0,"***","-3***
(-3.16 to -2.83)"
"Togo","Both","Age-standardized",-2.39,-2.62,-2.15,0,"***","-2.39***
(-2.62 to -2.15)"
"Burkina Faso","Both","Age-standardized",-2.61,-2.76,-2.46,0,"***","-2.61***
(-2.76 to -2.46)"
"Bulgaria","Both","Age-standardized",-6.07,-6.74,-5.4,0,"***","-6.07***
(-6.74 to -5.4)"
"Argentina","Both","Age-standardized",-3.65,-4.03,-3.27,0,"***","-3.65***
(-4.03 to -3.27)"
"Estonia","Both","Age-standardized",-5.89,-7.08,-4.69,0,"***","-5.89***
(-7.08 to -4.69)"
"Indonesia","Both","Age-standardized",-4.09,-4.38,-3.81,0,"***","-4.09***
(-4.38 to -3.81)"
"Ethiopia","Both","Age-standardized",-5.68,-6.01,-5.34,0,"***","-5.68***
(-6.01 to -5.34)"
"Nepal","Both","Age-standardized",-5.71,-5.88,-5.54,0,"***","-5.71***
(-5.88 to -5.54)"
"Austria","Both","Age-standardized",-5.6,-5.86,-5.34,0,"***","-5.6***
(-5.86 to -5.34)"
"Morocco","Both","Age-standardized",-4.5,-4.64,-4.35,0,"***","-4.5***
(-4.64 to -4.35)"
"Nicaragua","Both","Age-standardized",-5.27,-5.49,-5.06,0,"***","-5.27***
(-5.49 to -5.06)"
"Bangladesh","Both","Age-standardized",-6.61,-6.85,-6.37,0,"***","-6.61***
(-6.85 to -6.37)"
"Seychelles","Both","Age-standardized",-4.13,-4.37,-3.88,0,"***","-4.13***
(-4.37 to -3.88)"
"Iceland","Both","Age-standardized",-5.5,-5.68,-5.33,0,"***","-5.5***
(-5.68 to -5.33)"
"Mauritius","Both","Age-standardized",-4.48,-4.81,-4.15,0,"***","-4.48***
(-4.81 to -4.15)"
"Niger","Both","Age-standardized",-1.84,-1.97,-1.72,0,"***","-1.84***
(-1.97 to -1.72)"
"Solomon Islands","Both","Age-standardized",-2.08,-2.23,-1.93,0,"***","-2.08***
(-2.23 to -1.93)"
"Dominica","Both","Age-standardized",-3.55,-3.74,-3.36,0,"***","-3.55***
(-3.74 to -3.36)"
"China","Both","Age-standardized",-8.61,-8.85,-8.37,0,"***","-8.61***
(-8.85 to -8.37)"
"Marshall Islands","Both","Age-standardized",-2.48,-2.75,-2.22,0,"***","-2.48***
(-2.75 to -2.22)"
"American Samoa","Both","Age-standardized",-3.71,-3.88,-3.54,0,"***","-3.71***
(-3.88 to -3.54)"
"Trinidad and Tobago","Both","Age-standardized",-4.36,-4.84,-3.88,0,"***","-4.36***
(-4.84 to -3.88)"
"Libya","Both","Age-standardized",-2.62,-2.98,-2.25,0,"***","-2.62***
(-2.98 to -2.25)"
"France","Both","Age-standardized",-6.76,-7.06,-6.45,0,"***","-6.76***
(-7.06 to -6.45)"
"Antigua and Barbuda","Both","Age-standardized",-5.39,-5.73,-5.04,0,"***","-5.39***
(-5.73 to -5.04)"
"Azerbaijan","Both","Age-standardized",-5.1,-5.72,-4.47,0,"***","-5.1***
(-5.72 to -4.47)"
"Guatemala","Both","Age-standardized",-7.37,-8.06,-6.68,0,"***","-7.37***
(-8.06 to -6.68)"
"Greenland","Both","Age-standardized",-4.61,-4.9,-4.32,0,"***","-4.61***
(-4.9 to -4.32)"
"Nigeria","Both","Age-standardized",-4.66,-4.98,-4.33,0,"***","-4.66***
(-4.98 to -4.33)"
"Democratic People's Republic of Korea","Both","Age-standardized",-2.65,-2.9,-2.4,0,"***","-2.65***
(-2.9 to -2.4)"
"Dominican Republic","Both","Age-standardized",-4.91,-5.41,-4.4,0,"***","-4.91***
(-5.41 to -4.4)"
"Bermuda","Both","Age-standardized",-6.94,-7.24,-6.64,0,"***","-6.94***
(-7.24 to -6.64)"
"Micronesia (Federated States of)","Both","Age-standardized",-2.81,-2.94,-2.69,0,"***","-2.81***
(-2.94 to -2.69)"
"Philippines","Both","Age-standardized",-2.2,-2.45,-1.96,0,"***","-2.2***
(-2.45 to -1.96)"
"Panama","Both","Age-standardized",-4.25,-4.51,-3.99,0,"***","-4.25***
(-4.51 to -3.99)"
"Mozambique","Both","Age-standardized",-3.33,-3.59,-3.06,0,"***","-3.33***
(-3.59 to -3.06)"
"Palestine","Both","Age-standardized",-5.44,-5.63,-5.25,0,"***","-5.44***
(-5.63 to -5.25)"
"Cameroon","Both","Age-standardized",-2.85,-3.1,-2.61,0,"***","-2.85***
(-3.1 to -2.61)"
"Republic of Moldova","Both","Age-standardized",-3.02,-4.39,-1.63,2e-04,"***","-3.02***
(-4.39 to -1.63)"
"Guinea-Bissau","Both","Age-standardized",-2.14,-2.27,-2.01,0,"***","-2.14***
(-2.27 to -2.01)"
"Timor-Leste","Both","Age-standardized",-3.07,-3.23,-2.91,0,"***","-3.07***
(-3.23 to -2.91)"
"Croatia","Both","Age-standardized",-7.55,-7.89,-7.2,0,"***","-7.55***
(-7.89 to -7.2)"
"Belgium","Both","Age-standardized",-5.25,-5.43,-5.06,0,"***","-5.25***
(-5.43 to -5.06)"
"Guam","Both","Age-standardized",-2.78,-3.67,-1.87,0,"***","-2.78***
(-3.67 to -1.87)"
"Peru","Both","Age-standardized",-6.13,-6.86,-5.38,0,"***","-6.13***
(-6.86 to -5.38)"
"Pakistan","Both","Age-standardized",-3.96,-4.21,-3.7,0,"***","-3.96***
(-4.21 to -3.7)"
"Bahamas","Both","Age-standardized",-4.75,-5.09,-4.41,0,"***","-4.75***
(-5.09 to -4.41)"
"Honduras","Both","Age-standardized",-4.39,-4.65,-4.13,0,"***","-4.39***
(-4.65 to -4.13)"
"Tonga","Both","Age-standardized",-2.66,-2.8,-2.52,0,"***","-2.66***
(-2.8 to -2.52)"
"Eswatini","Both","Age-standardized",-3.41,-3.99,-2.83,0,"***","-3.41***
(-3.99 to -2.83)"
"Sao Tome and Principe","Both","Age-standardized",-3.81,-4.13,-3.48,0,"***","-3.81***
(-4.13 to -3.48)"
"Chile","Both","Age-standardized",-4.95,-5.22,-4.67,0,"***","-4.95***
(-5.22 to -4.67)"
"Malaysia","Both","Age-standardized",-4.88,-5.11,-4.65,0,"***","-4.88***
(-5.11 to -4.65)"
"Sri Lanka","Both","Age-standardized",-6.3,-6.58,-6.01,0,"***","-6.3***
(-6.58 to -6.01)"
"Armenia","Both","Age-standardized",-5.68,-6.83,-4.5,0,"***","-5.68***
(-6.83 to -4.5)"
"Taiwan (Province of China)","Both","Age-standardized",-8.06,-8.36,-7.75,0,"***","-8.06***
(-8.36 to -7.75)"
"Jamaica","Both","Age-standardized",-4.49,-4.8,-4.19,0,"***","-4.49***
(-4.8 to -4.19)"
"Lao People's Democratic Republic","Both","Age-standardized",-4.99,-5.21,-4.78,0,"***","-4.99***
(-5.21 to -4.78)"
"Gambia","Both","Age-standardized",-2.25,-2.45,-2.04,0,"***","-2.25***
(-2.45 to -2.04)"
"Sweden","Both","Age-standardized",-5.44,-5.63,-5.25,0,"***","-5.44***
(-5.63 to -5.25)"
"Republic of Korea","Both","Age-standardized",-7.47,-7.62,-7.32,0,"***","-7.47***
(-7.62 to -7.32)"
"Ireland","Both","Age-standardized",-6.59,-6.78,-6.41,0,"***","-6.59***
(-6.78 to -6.41)"
"Syrian Arab Republic","Both","Age-standardized",-4.74,-5.12,-4.35,0,"***","-4.74***
(-5.12 to -4.35)"
"Vanuatu","Both","Age-standardized",-2.16,-2.29,-2.03,0,"***","-2.16***
(-2.29 to -2.03)"
"Zimbabwe","Both","Age-standardized",1.99,1.01,2.98,3e-04,"***","1.99***
(1.01 to 2.98)"
"Switzerland","Both","Age-standardized",-6.14,-6.34,-5.94,0,"***","-6.14***
(-6.34 to -5.94)"
"Mexico","Both","Age-standardized",-6.21,-6.78,-5.64,0,"***","-6.21***
(-6.78 to -5.64)"
"Papua New Guinea","Both","Age-standardized",-2.23,-2.29,-2.16,0,"***","-2.23***
(-2.29 to -2.16)"
"Poland","Both","Age-standardized",-5.79,-6.2,-5.39,0,"***","-5.79***
(-6.2 to -5.39)"
"Venezuela (Bolivarian Republic of)","Both","Age-standardized",-3.58,-4.26,-2.89,0,"***","-3.58***
(-4.26 to -2.89)"
"Saint Lucia","Both","Age-standardized",-5.55,-5.89,-5.21,0,"***","-5.55***
(-5.89 to -5.21)"
"Tunisia","Both","Age-standardized",-6.68,-6.9,-6.45,0,"***","-6.68***
(-6.9 to -6.45)"
"Senegal","Both","Age-standardized",-3.19,-3.36,-3.02,0,"***","-3.19***
(-3.36 to -3.02)"
"Romania","Both","Age-standardized",-4.12,-4.69,-3.56,0,"***","-4.12***
(-4.69 to -3.56)"
"Cook Islands","Both","Age-standardized",-5.46,-5.69,-5.23,0,"***","-5.46***
(-5.69 to -5.23)"
"Australia","Both","Age-standardized",-4.45,-4.73,-4.17,0,"***","-4.45***
(-4.73 to -4.17)"
"Liberia","Both","Age-standardized",-3.47,-3.82,-3.11,0,"***","-3.47***
(-3.82 to -3.11)"
"Niue","Both","Age-standardized",-3.41,-3.51,-3.3,0,"***","-3.41***
(-3.51 to -3.3)"
"Latvia","Both","Age-standardized",-4.45,-5.37,-3.51,0,"***","-4.45***
(-5.37 to -3.51)"
"Kenya","Both","Age-standardized",-2.37,-2.77,-1.97,0,"***","-2.37***
(-2.77 to -1.97)"
"Grenada","Both","Age-standardized",-4.99,-5.34,-4.64,0,"***","-4.99***
(-5.34 to -4.64)"
"Cyprus","Both","Age-standardized",-6.68,-7.1,-6.26,0,"***","-6.68***
(-7.1 to -6.26)"
"Russian Federation","Both","Age-standardized",-3.97,-5.35,-2.58,0,"***","-3.97***
(-5.35 to -2.58)"
"Maldives","Both","Age-standardized",-7.71,-8.14,-7.27,0,"***","-7.71***
(-8.14 to -7.27)"
"Israel","Both","Age-standardized",-6.53,-6.83,-6.23,0,"***","-6.53***
(-6.83 to -6.23)"
"United States of America","Both","Age-standardized",-4.81,-5.52,-4.1,0,"***","-4.81***
(-5.52 to -4.1)"
"Viet Nam","Both","Age-standardized",-5.03,-5.1,-4.96,0,"***","-5.03***
(-5.1 to -4.96)"
"Bhutan","Both","Age-standardized",-5.12,-5.26,-4.98,0,"***","-5.12***
(-5.26 to -4.98)"
"Georgia","Both","Age-standardized",-4.59,-5.43,-3.73,0,"***","-4.59***
(-5.43 to -3.73)"
"Somalia","Both","Age-standardized",-2.21,-2.43,-1.99,0,"***","-2.21***
(-2.43 to -1.99)"
"Palau","Both","Age-standardized",-2.41,-2.57,-2.25,0,"***","-2.41***
(-2.57 to -2.25)"
"South Sudan","Both","Age-standardized",-1.38,-1.73,-1.02,0,"***","-1.38***
(-1.73 to -1.02)"
"Turkey","Both","Age-standardized",-8.39,-8.91,-7.86,0,"***","-8.39***
(-8.91 to -7.86)"
"United Kingdom","Both","Age-standardized",-4.16,-4.33,-3.99,0,"***","-4.16***
(-4.33 to -3.99)"
"Central African Republic","Both","Age-standardized",-1.36,-1.51,-1.22,0,"***","-1.36***
(-1.51 to -1.22)"
"Italy","Both","Age-standardized",-5.36,-5.66,-5.05,0,"***","-5.36***
(-5.66 to -5.05)"
"Brunei Darussalam","Both","Age-standardized",-5.14,-5.39,-4.89,0,"***","-5.14***
(-5.39 to -4.89)"
"Bolivia (Plurinational State of)","Both","Age-standardized",-5.95,-6.12,-5.79,0,"***","-5.95***
(-6.12 to -5.79)"
"Cabo Verde","Both","Age-standardized",-4.58,-4.84,-4.33,0,"***","-4.58***
(-4.84 to -4.33)"
"Ghana","Both","Age-standardized",-3.03,-3.15,-2.92,0,"***","-3.03***
(-3.15 to -2.92)"
"Algeria","Both","Age-standardized",-4.47,-4.69,-4.24,0,"***","-4.47***
(-4.69 to -4.24)"
"Uruguay","Both","Age-standardized",-3.2,-3.56,-2.85,0,"***","-3.2***
(-3.56 to -2.85)"
"Madagascar","Both","Age-standardized",-2.72,-2.89,-2.55,0,"***","-2.72***
(-2.89 to -2.55)"
"Sierra Leone","Both","Age-standardized",-2.18,-2.4,-1.95,0,"***","-2.18***
(-2.4 to -1.95)"
"Puerto Rico","Both","Age-standardized",-6.68,-6.99,-6.37,0,"***","-6.68***
(-6.99 to -6.37)"
"Mauritania","Both","Age-standardized",-3.86,-4.01,-3.71,0,"***","-3.86***
(-4.01 to -3.71)"
"Saint Vincent and the Grenadines","Both","Age-standardized",-4.76,-5.09,-4.43,0,"***","-4.76***
(-5.09 to -4.43)"
"Czechia","Both","Age-standardized",-6.26,-6.45,-6.07,0,"***","-6.26***
(-6.45 to -6.07)"
"Democratic Republic of the Congo","Both","Age-standardized",-1.72,-2.11,-1.34,0,"***","-1.72***
(-2.11 to -1.34)"
